individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
S4-D	S21	1000												
S4-D	S22	1000												
S4-D	S23	1000												
S4-D	S28	17500												
S4-D	S29	17500												
S4-D	S30	17500												
S4-D	S30-B	17500												
S4-D	S30-C	17500												
S4-D	S31	17500												
S4-D	S31-B	17500												
S4-D	S31-C	17500												
S4-D	S32	17500												
S4-D	S33	17500												
S4-D	S34	17500												
S4-D	S34-B	17500												
S4-D	S34-D	17500												
S4-D	S35	17500												
S4-D	S35-B	17500												
S4-D	S35-C	17500												
S4-D	S37	15300												
S4-D	S38	15300												
S4-D	S39	15300												
S4-D	S40	15300												
S4-D	S41	15300												
S4-D	S42	15300												
S4-D	S44	24400												
S4-D	S45	24400												
S4-D	S46	24400												
S4-D	S47	24400												
S4-D	S49	24400												
S4-D	S50	30600												
S4-D	S51	30600												
S4-D	S52	30600												
S4-D	S53	30600												
S4-D	S54	33000												
S4-D	S55	33000												
S4-D	S56	33000												
S4-D	S57	33000												
S4-D	S58	33000												
S4-D	S59	33000												
S4-D	S63	34200												
S4-D	S64	34200												
S4-D	S65	34200												
S4-D	S66	34200												
S4-D	S67	34200												
S4-D	S67-B	34200												
S4-D	S67-C	34200												
S4-D	S68	34200												
S4-D	S68-B	34200												
S4-D	S68-C	34200												
S4-D	S69	34200												
S4-D	S70	34200												
S4-D	S71	34200												
S5	S13	1000												
S5	S14	1000												
S5	S16	1000												
S5	S17	1000												
S5	S18	1000												
S5	S19	1000												
S5	S20	1000												
S5	S21	1000												
S5	S22	1000												
S5	S23	1000												
S5	S28	17500												
S5	S29	17500												
S5	S30	17500												
S5	S30-B	17500												
S5	S30-C	17500												
S5	S31	17500												
S5	S31-B	17500												
S5	S31-C	17500												
S5	S32	17500												
S5	S33	17500												
S5	S34	17500												
S5	S34-B	17500												
S5	S34-D	17500												
S5	S35	17500												
S5	S35-B	17500												
S5	S35-C	17500												
S5	S37	15300												
S5	S38	15300												
S5	S39	15300												
S5	S40	15300												
S5	S41	15300												
S5	S42	15300												
S5	S44	24400												
S5	S45	24400												
S5	S46	24400												
S5	S47	24400												
S5	S49	24400												
S5	S50	30600												
S5	S51	30600												
S5	S52	30600												
S5	S53	30600												
S5	S54	33000												
S5	S55	33000												
S5	S56	33000												
S5	S57	33000												
S5	S58	33000												
S5	S59	33000												
S5	S63	34200												
S5	S64	34200												
S5	S65	34200												
S5	S66	34200												
S5	S67	34200												
S5	S67-B	34200												
S5	S67-C	34200												
S5	S68	34200												
S5	S68-B	34200												
S5	S68-C	34200												
S5	S69	34200												
S5	S70	34200												
S5	S71	34200												
S6	S13	1000												
S6	S14	1000												
S6	S16	1000												
S6	S17	1000												
S6	S18	1000												
S6	S19	1000												
S6	S20	1000												
S6	S21	1000												
S6	S22	1000												
S6	S23	1000												
S6	S28	17500												
S6	S29	17500												
S6	S30	17500												
S6	S30-B	17500												
S6	S30-C	17500												
S6	S31	17500												
S6	S31-B	17500												
S6	S31-C	17500												
S6	S32	17500												
S6	S33	17500												
S6	S34	17500												
S6	S34-B	17500												
S6	S34-D	17500												
S6	S35	17500												
S6	S35-B	17500												
S6	S35-C	17500												
S6	S37	15300												
S6	S38	15300												
S6	S39	15300												
S6	S40	15300												
S6	S41	15300												
S6	S42	15300												
S6	S44	24400												
S6	S45	24400												
S6	S46	24400												
S6	S47	24400												
S6	S49	24400												
S6	S50	30600												
S6	S51	30600												
S6	S52	30600												
S6	S53	30600												
S6	S54	33000												
S6	S55	33000												
S6	S56	33000												
S6	S57	33000												
S6	S58	33000												
S6	S59	33000												
S6	S63	34200												
S6	S64	34200												
S6	S65	34200												
S6	S66	34200												
S6	S67	34200												
S6	S67-B	34200												
S6	S67-C	34200												
S6	S68	34200												
S6	S68-B	34200												
S6	S68-C	34200												
S6	S69	34200												
S6	S70	34200												
S6	S71	34200												
S7	S13	1000												
S7	S14	1000												
S7	S16	1000												
S7	S17	1000												
S7	S18	1000												
S7	S19	1000												
S7	S20	1000												
S7	S21	1000												
S7	S22	1000												
S7	S23	1000												
S7	S28	17500												
S7	S29	17500												
S7	S30	17500												
S7	S30-B	17500												
S7	S30-C	17500												
S7	S31	17500												
S7	S31-B	17500												
S7	S31-C	17500												
S7	S32	17500												
S7	S33	17500												
S7	S34	17500												
S7	S34-B	17500												
S7	S34-D	17500												
S7	S35	17500												
S7	S35-B	17500												
S7	S35-C	17500												
S7	S37	15300												
S7	S38	15300												
S7	S39	15300												
S7	S40	15300												
S7	S41	15300												
S7	S42	15300												
S7	S44	24400												
S7	S45	24400												
S7	S46	24400												
S7	S47	24400												
S7	S49	24400												
S7	S50	30600												
S7	S51	30600												
S7	S52	30600												
S7	S53	30600												
S7	S54	33000												
S7	S55	33000												
S7	S56	33000												
S7	S57	33000												
S7	S58	33000												
S7	S59	33000												
S7	S63	34200												
S7	S64	34200												
S7	S65	34200												
S7	S66	34200												
S7	S67	34200												
S7	S67-B	34200												
S7	S67-C	34200												
S7	S68	34200												
S7	S68-B	34200												
S7	S68-C	34200												
S7	S69	34200												
S7	S70	34200												
S7	S71	34200												
S8	S13	1000												
S8	S14	1000												
S8	S16	1000												
S8	S17	1000												
S8	S18	1000												
S8	S19	1000												
S8	S20	1000												
S8	S21	1000												
S8	S22	1000												
S8	S23	1000												
S8	S28	17500												
S8	S29	17500												
S8	S30	17500												
S8	S30-B	17500												
S8	S30-C	17500												
S8	S31	17500												
S8	S31-B	17500												
S8	S31-C	17500												
S8	S32	17500												
S8	S33	17500												
S8	S34	17500												
S8	S34-B	17500												
S8	S34-D	17500												
S8	S35	17500												
S8	S35-B	17500												
S8	S35-C	17500												
S8	S37	15300												
S8	S38	15300												
S8	S39	15300												
S8	S40	15300												
S8	S41	15300												
S8	S42	15300												
S8	S44	24400												
S8	S45	24400												
S8	S46	24400												
S8	S47	24400												
S8	S49	24400												
S8	S50	30600												
S8	S51	30600												
S8	S52	30600												
S8	S53	30600												
S8	S54	33000												
S8	S55	33000												
S8	S56	33000												
S8	S57	33000												
S8	S58	33000												
S8	S59	33000												
S8	S63	34200												
S8	S64	34200												
S8	S65	34200												
S8	S66	34200												
S8	S67	34200												
S8	S67-B	34200												
S8	S67-C	34200												
S8	S68	34200												
S8	S68-B	34200												
S8	S68-C	34200												
S8	S69	34200												
S8	S70	34200												
S8	S71	34200												
S9	S13	1000												
S9	S14	1000												
S9	S16	1000												
S9	S17	1000												
S9	S18	1000												
S9	S19	1000												
S9	S20	1000												
S9	S21	1000												
S9	S22	1000												
S9	S23	1000												
S9	S28	17500												
S9	S29	17500												
S9	S30	17500												
S9	S30-B	17500												
S9	S30-C	17500												
S9	S31	17500												
S9	S31-B	17500												
S9	S31-C	17500												
S9	S32	17500												
S9	S33	17500												
S9	S34	17500												
S9	S34-B	17500												
S9	S34-D	17500												
S9	S35	17500												
S9	S35-B	17500												
S9	S35-C	17500												
S9	S37	15300												
S9	S38	15300												
S9	S39	15300												
S9	S40	15300												
S9	S41	15300												
S9	S42	15300												
S9	S44	24400												
