individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
V2-B	V90	11700												
V2-D	V36	25000												
V2-D	V37	25000												
V2-D	V38	25000												
V2-D	V39	25000												
V2-D	V40	25000												
V2-D	V41	25000												
V2-D	V42	25000												
V2-D	V43	31200												
V2-D	V44	31200												
V2-D	V44-B	31200												
V2-D	V44-C	31200												
V2-D	V45	31200												
V2-D	V45-C	31200												
V2-D	V45-D	31200												
V2-D	V46	31200												
V2-D	V47	31200												
V2-D	V48	31200												
V2-D	V49	31200												
V2-D	V53	35500												
V2-D	V54	35500												
V2-D	V55	35500												
V2-D	V56	35500												
V2-D	V57	35500												
V2-D	V60	34000												
V2-D	V60-B	34000												
V2-D	V60-D	34000												
V2-D	V61	34000												
V2-D	V61-B	34000												
V2-D	V61-C	34000												
V2-D	V62	34000												
V2-D	V63	34000												
V2-D	V64	34000												
V2-D	V65	34000												
V2-D	V66	34000												
V2-D	V67	34000												
V2-D	V68	34000												
V2-D	V69	34000												
V2-D	V80	23100												
V2-D	V81	23100												
V2-D	V82	23100												
V2-D	V83	23100												
V2-D	V83-B	23100												
V2-D	V83-C	23100												
V2-D	V84	23100												
V2-D	V84-B	23100												
V2-D	V84-C	23100												
V2-D	V85	23100												
V2-D	V86	23100												
V2-D	V87	23100												
V2-D	V88	11700												
V2-D	V89	11700												
V2-D	V90	11700												
V3	V36	25000												
V3	V37	25000												
V3	V38	25000												
V3	V39	25000												
V3	V40	25000												
V3	V41	25000												
V3	V42	25000												
V3	V43	31200												
V3	V44	31200												
V3	V44-B	31200												
V3	V44-C	31200												
V3	V45	31200												
V3	V45-C	31200												
V3	V45-D	31200												
V3	V46	31200												
V3	V47	31200												
V3	V48	31200												
V3	V49	31200												
V3	V53	35500												
V3	V54	35500												
V3	V55	35500												
V3	V56	35500												
V3	V57	35500												
V3	V60	34000												
V3	V60-B	34000												
V3	V60-D	34000												
V3	V61	34000												
V3	V61-B	34000												
V3	V61-C	34000												
V3	V62	34000												
V3	V63	34000												
V3	V64	34000												
V3	V65	34000												
V3	V66	34000												
V3	V67	34000												
V3	V68	34000												
V3	V69	34000												
V3	V80	23100												
V3	V81	23100												
V3	V82	23100												
V3	V83	23100												
V3	V83-B	23100												
V3	V83-C	23100												
V3	V84	23100												
V3	V84-B	23100												
V3	V84-C	23100												
V3	V85	23100												
V3	V86	23100												
V3	V87	23100												
V3	V88	11700												
V3	V89	11700												
V3	V90	11700												
V4	V36	25000												
V4	V37	25000												
V4	V38	25000												
V4	V39	25000												
V4	V40	25000												
V4	V41	25000												
V4	V42	25000												
V4	V43	31200												
V4	V44	31200												
V4	V44-B	31200												
V4	V44-C	31200												
V4	V45	31200												
V4	V45-C	31200												
V4	V45-D	31200												
V4	V46	31200												
V4	V47	31200												
V4	V48	31200												
V4	V49	31200												
V4	V53	35500												
V4	V54	35500												
V4	V55	35500												
V4	V56	35500												
V4	V57	35500												
V4	V60	34000												
V4	V60-B	34000												
V4	V60-D	34000												
V4	V61	34000												
V4	V61-B	34000												
V4	V61-C	34000												
V4	V62	34000												
V4	V63	34000												
V4	V64	34000												
V4	V65	34000												
V4	V66	34000												
V4	V67	34000												
V4	V68	34000												
V4	V69	34000												
V4	V80	23100												
V4	V81	23100												
V4	V82	23100												
V4	V83	23100												
V4	V83-B	23100												
V4	V83-C	23100												
V4	V84	23100												
V4	V84-B	23100												
V4	V84-C	23100												
V4	V85	23100												
V4	V86	23100												
V4	V87	23100												
V4	V88	11700												
V4	V89	11700												
V4	V90	11700												
V5	V36	25000												
V5	V37	25000												
V5	V38	25000												
V5	V39	25000												
V5	V40	25000												
V5	V41	25000												
V5	V42	25000												
V5	V43	31200												
V5	V44	31200												
V5	V44-B	31200												
V5	V44-C	31200												
V5	V45	31200												
V5	V45-C	31200												
V5	V45-D	31200												
V5	V46	31200												
V5	V47	31200												
V5	V48	31200												
V5	V49	31200												
V5	V53	35500												
V5	V54	35500												
V5	V55	35500												
V5	V56	35500												
V5	V57	35500												
V5	V60	34000												
V5	V60-B	34000												
V5	V60-D	34000												
V5	V61	34000												
V5	V61-B	34000												
V5	V61-C	34000												
V5	V62	34000												
V5	V63	34000												
V5	V64	34000												
V5	V65	34000												
V5	V66	34000												
V5	V67	34000												
V5	V68	34000												
V5	V69	34000												
V5	V80	23100												
V5	V81	23100												
V5	V82	23100												
V5	V83	23100												
V5	V83-B	23100												
V5	V83-C	23100												
V5	V84	23100												
V5	V84-B	23100												
V5	V84-C	23100												
V5	V85	23100												
V5	V86	23100												
V5	V87	23100												
V5	V88	11700												
V5	V89	11700												
V5	V90	11700												
V6	V36	25000												
V6	V37	25000												
V6	V38	25000												
V6	V39	25000												
V6	V40	25000												
V6	V41	25000												
V6	V42	25000												
V6	V43	31200												
V6	V44	31200												
V6	V44-B	31200												
V6	V44-C	31200												
V6	V45	31200												
V6	V45-C	31200												
V6	V45-D	31200												
V6	V46	31200												
V6	V47	31200												
V6	V48	31200												
V6	V49	31200												
V6	V53	35500												
V6	V54	35500												
V6	V55	35500												
V6	V56	35500												
V6	V57	35500												
V6	V60	34000												
V6	V60-B	34000												
V6	V60-D	34000												
V6	V61	34000												
V6	V61-B	34000												
V6	V61-C	34000												
V6	V62	34000												
V6	V63	34000												
V6	V64	34000												
V6	V65	34000												
V6	V66	34000												
V6	V67	34000												
V6	V68	34000												
V6	V69	34000												
V6	V80	23100												
V6	V81	23100												
V6	V82	23100												
V6	V83	23100												
V6	V83-B	23100												
V6	V83-C	23100												
V6	V84	23100												
V6	V84-B	23100												
V6	V84-C	23100												
V6	V85	23100												
V6	V86	23100												
V6	V87	23100												
V6	V88	11700												
V6	V89	11700												
V6	V90	11700												
V7	V36	25000												
V7	V37	25000												
V7	V38	25000												
V7	V39	25000												
V7	V40	25000												
V7	V41	25000												
V7	V42	25000												
V7	V43	31200												
V7	V44	31200												
V7	V44-B	31200												
V7	V44-C	31200												
V7	V45	31200												
V7	V45-C	31200												
V7	V45-D	31200												
V7	V46	31200												
V7	V47	31200												
V7	V48	31200												
V7	V49	31200												
V7	V53	35500												
V7	V54	35500												
V7	V55	35500												
V7	V56	35500												
V7	V57	35500												
V7	V60	34000												
V7	V60-B	34000												
V7	V60-D	34000												
V7	V61	34000												
V7	V61-B	34000												
V7	V61-C	34000												
V7	V62	34000												
V7	V63	34000												
V7	V64	34000												
V7	V65	34000												
V7	V66	34000												
V7	V67	34000												
V7	V68	34000												
V7	V69	34000												
V7	V80	23100												
V7	V81	23100												
V7	V82	23100												
V7	V83	23100												
V7	V83-B	23100												
V7	V83-C	23100												
V7	V84	23100												
V7	V84-B	23100												
V7	V84-C	23100												
V7	V85	23100												
V7	V86	23100												
V7	V87	23100												
V7	V88	11700												
V7	V89	11700												
V7	V90	11700												
V8	V36	25000												
V8	V37	25000												
V8	V38	25000												
V8	V39	25000												
V8	V40	25000												
V8	V41	25000												
V8	V42	25000												
V8	V43	31200												
V8	V44	31200												
V8	V44-B	31200												
V8	V44-C	31200												
V8	V45	31200												
V8	V45-C	31200												
V8	V45-D	31200												
V8	V46	31200												
V8	V47	31200												
V8	V48	31200												
V8	V49	31200												
V8	V53	35500												
V8	V54	35500												
V8	V55	35500												
V8	V56	35500												
V8	V57	35500												
V8	V60	34000												
V8	V60-B	34000												
V8	V60-D	34000												
V8	V61	34000												
V8	V61-B	34000												
