individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
Z9	Z43-D	15500												
Z9	Z47	71300												
Z9	Z49	71300												
Z9	Z50	71300												
Z9	Z51	71300												
Z9	Z52	71300												
Z9	Z53	71300												
Z9	Z54	71300												
Z9	Z55	71300												
Z10	Z14	1400												
Z10	Z16	1400												
Z10	Z17	1400												
Z10	Z18	8100												
Z10	Z19	8100												
Z10	Z20	8100												
Z10	Z21	8100												
Z10	Z22	8100												
Z10	Z23	8100												
Z10	Z24	8100												
Z10	Z24-C	8100												
Z10	Z24-E	8100												
Z10	Z26	8100												
Z10	Z26-B	8100												
Z10	Z26-D	8100												
Z10	Z27	17000												
Z10	Z28	17000												
Z10	Z31	17000												
Z10	Z33	17000												
Z10	Z37	17000												
Z10	Z38	17000												
Z10	Z39	17000												
Z10	Z41	15500												
Z10	Z42	15500												
Z10	Z42-C	15500												
Z10	Z42-D	15500												
Z10	Z43	15500												
Z10	Z43-C	15500												
Z10	Z43-D	15500												
Z10	Z47	71300												
Z10	Z49	71300												
Z10	Z50	71300												
Z10	Z51	71300												
Z10	Z52	71300												
Z10	Z53	71300												
Z10	Z54	71300												
Z10	Z55	71300												
Z10-B	Z14	1400												
Z10-B	Z16	1400												
Z10-B	Z17	1400												
Z10-B	Z18	8100												
Z10-B	Z19	8100												
Z10-B	Z20	8100												
Z10-B	Z21	8100												
Z10-B	Z22	8100												
Z10-B	Z23	8100												
Z10-B	Z24	8100												
Z10-B	Z24-C	8100												
Z10-B	Z24-E	8100												
Z10-B	Z26	8100												
Z10-B	Z26-B	8100												
Z10-B	Z26-D	8100												
Z10-B	Z27	17000												
Z10-B	Z28	17000												
Z10-B	Z31	17000												
Z10-B	Z33	17000												
Z10-B	Z37	17000												
Z10-B	Z38	17000												
Z10-B	Z39	17000												
Z10-B	Z41	15500												
Z10-B	Z42	15500												
Z10-B	Z42-C	15500												
Z10-B	Z42-D	15500												
Z10-B	Z43	15500												
Z10-B	Z43-C	15500												
Z10-B	Z43-D	15500												
Z10-B	Z47	71300												
Z10-B	Z49	71300												
Z10-B	Z50	71300												
Z10-B	Z51	71300												
Z10-B	Z52	71300												
Z10-B	Z53	71300												
Z10-B	Z54	71300												
Z10-B	Z55	71300												
Z10-D	Z14	1400												
Z10-D	Z16	1400												
Z10-D	Z17	1400												
Z10-D	Z18	8100												
Z10-D	Z19	8100												
Z10-D	Z20	8100												
Z10-D	Z21	8100												
Z10-D	Z22	8100												
Z10-D	Z23	8100												
Z10-D	Z24	8100												
Z10-D	Z24-C	8100												
Z10-D	Z24-E	8100												
Z10-D	Z26	8100												
Z10-D	Z26-B	8100												
Z10-D	Z26-D	8100												
Z10-D	Z27	17000												
Z10-D	Z28	17000												
Z10-D	Z31	17000												
Z10-D	Z33	17000												
Z10-D	Z37	17000												
Z10-D	Z38	17000												
Z10-D	Z39	17000												
Z10-D	Z41	15500												
Z10-D	Z42	15500												
Z10-D	Z42-C	15500												
Z10-D	Z42-D	15500												
Z10-D	Z43	15500												
Z10-D	Z43-C	15500												
Z10-D	Z43-D	15500												
Z10-D	Z47	71300												
Z10-D	Z49	71300												
Z10-D	Z50	71300												
Z10-D	Z51	71300												
Z10-D	Z52	71300												
Z10-D	Z53	71300												
Z10-D	Z54	71300												
Z10-D	Z55	71300												
Z11	Z14	1400												
Z11	Z16	1400												
Z11	Z17	1400												
Z11	Z18	8100												
Z11	Z19	8100												
Z11	Z20	8100												
Z11	Z21	8100												
Z11	Z22	8100												
Z11	Z23	8100												
Z11	Z24	8100												
Z11	Z24-C	8100												
Z11	Z24-E	8100												
Z11	Z26	8100												
Z11	Z26-B	8100												
Z11	Z26-D	8100												
Z11	Z27	17000												
Z11	Z28	17000												
Z11	Z31	17000												
Z11	Z33	17000												
Z11	Z37	17000												
Z11	Z38	17000												
Z11	Z39	17000												
Z11	Z41	15500												
Z11	Z42	15500												
Z11	Z42-C	15500												
Z11	Z42-D	15500												
Z11	Z43	15500												
Z11	Z43-C	15500												
Z11	Z43-D	15500												
Z11	Z47	71300												
Z11	Z49	71300												
Z11	Z50	71300												
Z11	Z51	71300												
Z11	Z52	71300												
Z11	Z53	71300												
Z11	Z54	71300												
Z11	Z55	71300												
Z11-C	Z14	1400												
Z11-C	Z16	1400												
Z11-C	Z17	1400												
Z11-C	Z18	8100												
Z11-C	Z19	8100												
Z11-C	Z20	8100												
Z11-C	Z21	8100												
Z11-C	Z22	8100												
Z11-C	Z23	8100												
Z11-C	Z24	8100												
Z11-C	Z24-C	8100												
Z11-C	Z24-E	8100												
Z11-C	Z26	8100												
Z11-C	Z26-B	8100												
Z11-C	Z26-D	8100												
Z11-C	Z27	17000												
Z11-C	Z28	17000												
Z11-C	Z31	17000												
Z11-C	Z33	17000												
Z11-C	Z37	17000												
Z11-C	Z38	17000												
Z11-C	Z39	17000												
Z11-C	Z41	15500												
Z11-C	Z42	15500												
Z11-C	Z42-C	15500												
Z11-C	Z42-D	15500												
Z11-C	Z43	15500												
Z11-C	Z43-C	15500												
Z11-C	Z43-D	15500												
Z11-C	Z47	71300												
Z11-C	Z49	71300												
Z11-C	Z50	71300												
Z11-C	Z51	71300												
Z11-C	Z52	71300												
Z11-C	Z53	71300												
Z11-C	Z54	71300												
Z11-C	Z55	71300												
Z11-D	Z14	1400												
Z11-D	Z16	1400												
Z11-D	Z17	1400												
Z11-D	Z18	8100												
Z11-D	Z19	8100												
Z11-D	Z20	8100												
Z11-D	Z21	8100												
Z11-D	Z22	8100												
Z11-D	Z23	8100												
Z11-D	Z24	8100												
Z11-D	Z24-C	8100												
Z11-D	Z24-E	8100												
Z11-D	Z26	8100												
Z11-D	Z26-B	8100												
Z11-D	Z26-D	8100												
Z11-D	Z27	17000												
Z11-D	Z28	17000												
Z11-D	Z31	17000												
Z11-D	Z33	17000												
Z11-D	Z37	17000												
Z11-D	Z38	17000												
Z11-D	Z39	17000												
Z11-D	Z41	15500												
Z11-D	Z42	15500												
Z11-D	Z42-C	15500												
